time,year,value,gender,age_group,time_unit
52,2018,541,females,,weekly
52,2019,532,females,,weekly
52,2020,628,females,,weekly
52,2021,555,females,,weekly
53,2015,96,females,,weekly
53,2016,157,females,,weekly
53,2017,89,females,,weekly
53,2018,66,females,,weekly
53,2019,76,females,,weekly
53,2020,150,females,,weekly
53,2021,70,females,,weekly
1,2015,0,transgender,,weekly
1,2016,0,transgender,,weekly
1,2017,0,transgender,,weekly
1,2018,0,transgender,,weekly
1,2019,1,transgender,,weekly
1,2020,0,transgender,,weekly
1,2021,0,transgender,,weekly
1,2022,0,transgender,,weekly
2,2015,0,transgender,,weekly
2,2016,0,transgender,,weekly
2,2017,0,transgender,,weekly
2,2018,0,transgender,,weekly
2,2019,0,transgender,,weekly
2,2020,2,transgender,,weekly
2,2021,0,transgender,,weekly
2,2022,0,transgender,,weekly
3,2015,0,transgender,,weekly
3,2016,0,transgender,,weekly
3,2017,0,transgender,,weekly
3,2018,0,transgender,,weekly
3,2019,0,transgender,,weekly
3,2020,0,transgender,,weekly
3,2021,0,transgender,,weekly
3,2022,0,transgender,,weekly
4,2015,0,transgender,,weekly
4,2016,0,transgender,,weekly
4,2017,0,transgender,,weekly
4,2018,0,transgender,,weekly
4,2019,0,transgender,,weekly
4,2020,0,transgender,,weekly
4,2021,0,transgender,,weekly
4,2022,0,transgender,,weekly
5,2015,0,transgender,,weekly
5,2016,0,transgender,,weekly
5,2017,2,transgender,,weekly
5,2018,0,transgender,,weekly
5,2019,0,transgender,,weekly
5,2020,0,transgender,,weekly
5,2021,0,transgender,,weekly
5,2022,0,transgender,,weekly
6,2015,0,transgender,,weekly
6,2016,0,transgender,,weekly
6,2017,0,transgender,,weekly
6,2018,0,transgender,,weekly
6,2019,0,transgender,,weekly
6,2020,0,transgender,,weekly
6,2021,0,transgender,,weekly
6,2022,0,transgender,,weekly
7,2015,0,transgender,,weekly
7,2016,0,transgender,,weekly
7,2017,0,transgender,,weekly
7,2018,1,transgender,,weekly
7,2019,0,transgender,,weekly
7,2020,0,transgender,,weekly
7,2021,0,transgender,,weekly
7,2022,0,transgender,,weekly
8,2015,0,transgender,,weekly
8,2016,0,transgender,,weekly
8,2017,0,transgender,,weekly
8,2018,0,transgender,,weekly
8,2019,0,transgender,,weekly
8,2020,1,transgender,,weekly
8,2021,0,transgender,,weekly
8,2022,0,transgender,,weekly
9,2015,0,transgender,,weekly
9,2016,0,transgender,,weekly
9,2017,1,transgender,,weekly
9,2018,0,transgender,,weekly
9,2019,0,transgender,,weekly
9,2020,0,transgender,,weekly
9,2021,0,transgender,,weekly
9,2022,0,transgender,,weekly
10,2015,0,transgender,,weekly
10,2016,0,transgender,,weekly
10,2017,0,transgender,,weekly
10,2018,0,transgender,,weekly
10,2019,0,transgender,,weekly
10,2020,0,transgender,,weekly
10,2021,0,transgender,,weekly
10,2022,0,transgender,,weekly
11,2015,0,transgender,,weekly
11,2016,0,transgender,,weekly
11,2017,1,transgender,,weekly
11,2018,0,transgender,,weekly
11,2019,0,transgender,,weekly
11,2020,0,transgender,,weekly
11,2021,0,transgender,,weekly
11,2022,0,transgender,,weekly
12,2015,0,transgender,,weekly
12,2016,0,transgender,,weekly
12,2017,0,transgender,,weekly
12,2018,0,transgender,,weekly
12,2019,1,transgender,,weekly
12,2020,1,transgender,,weekly
12,2021,0,transgender,,weekly
12,2022,0,transgender,,weekly
13,2015,0,transgender,,weekly
13,2016,0,transgender,,weekly
13,2017,0,transgender,,weekly
13,2018,0,transgender,,weekly
13,2019,0,transgender,,weekly
13,2020,0,transgender,,weekly
13,2021,1,transgender,,weekly
13,2022,0,transgender,,weekly
14,2015,0,transgender,,weekly
14,2016,0,transgender,,weekly
14,2017,0,transgender,,weekly
14,2018,0,transgender,,weekly
14,2019,0,transgender,,weekly
14,2020,0,transgender,,weekly
14,2021,0,transgender,,weekly
14,2022,0,transgender,,weekly
15,2015,0,transgender,,weekly
15,2016,0,transgender,,weekly
15,2017,0,transgender,,weekly
15,2018,0,transgender,,weekly
15,2019,0,transgender,,weekly
15,2020,0,transgender,,weekly
15,2021,1,transgender,,weekly
15,2022,0,transgender,,weekly
16,2015,0,transgender,,weekly
16,2016,0,transgender,,weekly
16,2017,0,transgender,,weekly
16,2018,0,transgender,,weekly
16,2019,0,transgender,,weekly
16,2020,0,transgender,,weekly
16,2021,0,transgender,,weekly
17,2015,0,transgender,,weekly
17,2016,0,transgender,,weekly
17,2017,0,transgender,,weekly
17,2018,0,transgender,,weekly
17,2019,0,transgender,,weekly
17,2020,0,transgender,,weekly
17,2021,1,transgender,,weekly
18,2015,0,transgender,,weekly
18,2016,0,transgender,,weekly
18,2017,0,transgender,,weekly
18,2018,0,transgender,,weekly
18,2019,0,transgender,,weekly
18,2020,0,transgender,,weekly
18,2021,1,transgender,,weekly
19,2015,0,transgender,,weekly
19,2016,0,transgender,,weekly
19,2017,0,transgender,,weekly
19,2018,0,transgender,,weekly
19,2019,0,transgender,,weekly
