death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119,all_age_groups
2020-04-17,1,,,1,,2,4,1,3,4,6,4,6,9,9,10,9,4,2,,,,,,75
2020-04-18,2,,1,,,1,3,,5,6,8,3,6,13,9,6,6,6,1,1,,,,,77
2020-04-19,1,1,1,1,,1,3,2,5,2,7,11,2,9,11,8,6,1,4,1,,,,,77
2020-04-20,2,,,,,1,,1,6,3,7,3,4,9,6,8,9,2,3,1,,,,,65
2020-04-21,5,1,1,,1,1,3,1,3,3,7,6,11,12,12,6,7,4,2,1,,,,,87
2020-04-22,2,,1,2,,2,1,4,3,6,6,5,6,4,17,13,9,2,2,,,,,,85
2020-04-23,3,,,,,2,,2,3,3,5,8,8,5,9,11,6,2,1,1,,,,,69
2020-04-24,,2,,,1,2,2,3,1,9,4,3,11,6,11,5,11,4,6,,,,,,81
2020-04-25,1,,,2,,3,2,1,2,2,5,3,10,10,8,6,4,5,2,1,1,,,,68
2020-04-26,3,,,,1,1,4,1,2,4,4,4,11,12,8,9,8,3,2,,,,,,77
2020-04-27,2,,,,1,4,1,,2,3,7,6,6,8,15,6,2,3,2,2,,,,,70
2020-04-28,1,,2,,,,,4,3,3,7,11,7,6,11,9,12,4,2,,,,,,82
2020-04-29,2,,,,1,1,,2,4,2,6,4,5,10,5,10,5,4,1,,,,,,62
2020-04-30,3,,3,,,,,2,1,6,3,6,9,12,8,7,6,7,4,1,,,,,78
2020-05-01,3,,,1,,2,,1,4,5,12,7,10,6,5,5,8,5,3,2,,,,,79
2020-05-02,2,,2,1,,2,2,1,,7,5,9,9,6,8,8,17,10,3,1,,,,,93
2020-05-03,3,1,,,,,3,2,4,9,2,6,10,12,7,11,10,4,1,2,,,,,87
2020-05-04,2,,,,1,1,,1,3,4,6,9,7,13,10,7,9,1,1,,,,,,75
2020-05-05,4,1,1,1,,2,2,2,4,6,9,8,10,6,9,3,5,4,2,1,,,,,80
2020-05-06,5,,,,2,2,3,1,2,5,,6,10,8,7,11,3,5,1,,,,,,71
2020-05-07,6,,1,1,2,1,1,,5,4,5,6,13,11,11,11,8,4,4,1,,,,,95
2020-05-08,1,,1,,,1,5,3,5,3,11,5,12,14,15,6,5,3,5,,,,,,95
2020-05-09,3,1,,1,,3,1,,7,3,2,5,10,9,10,4,9,3,5,4,,,,,80
2020-05-10,2,,,,1,3,4,4,3,8,3,13,13,15,15,5,11,4,1,,,,,,105
2020-05-11,1,1,,,3,,4,1,3,5,5,9,10,11,7,13,13,6,,,,,,,92
2020-05-12,1,,1,1,3,3,,4,4,4,7,12,9,10,6,11,6,7,2,,,1,,,92
2020-05-13,3,,,,2,1,,,2,2,5,8,10,11,6,12,8,5,5,2,,,,,82
2020-05-14,1,,,,3,1,2,,4,7,6,7,8,11,9,7,9,6,5,,,,,,86
2020-05-15,2,1,1,1,1,1,1,,3,3,5,11,6,8,16,16,7,5,4,4,,,,,96
2020-05-16,1,,,,,3,2,1,6,3,8,5,15,8,15,10,12,10,4,,,,,,103
2020-05-17,4,,,,1,2,1,3,7,3,7,9,14,9,15,8,14,1,5,,,,,,103
2020-05-18,4,,,,1,1,2,5,4,5,9,9,13,9,17,8,7,3,2,,,,,,99
2020-05-19,2,,,,5,2,1,4,2,7,9,6,11,11,15,16,6,5,1,1,,,,,104
2020-05-20,3,1,,,,3,,5,4,4,11,9,10,14,16,14,9,5,2,,,,,,110
2020-05-21,7,,,,1,1,3,3,10,4,7,13,10,18,16,17,11,8,,,,,,,129
2020-05-22,4,,,2,1,2,6,3,1,4,10,12,14,22,19,16,15,6,5,,,,,,142
2020-05-23,4,,1,,2,3,3,1,12,11,11,9,14,21,18,21,13,11,4,1,,,,,160
2020-05-24,3,1,,1,2,4,2,9,10,6,14,17,18,20,24,18,8,8,4,1,,,,,170
2020-05-25,2,,,,,2,3,2,3,8,8,10,13,16,13,21,15,8,7,,,,,,131
2020-05-26,2,,,,3,2,3,8,9,7,14,12,22,14,22,11,15,7,5,,2,,,,158
2020-05-27,5,,1,,2,1,2,6,5,8,9,14,17,20,25,11,14,5,6,,,,,,151
2020-05-28,5,,,1,,5,5,7,5,11,13,15,21,20,20,20,6,14,,1,,,,,169
2020-05-29,2,,1,,1,,3,5,6,11,13,18,23,20,16,15,17,9,3,1,,,,,164
2020-05-30,9,1,,2,2,5,4,5,10,7,13,11,26,22,34,17,16,8,8,1,1,,,,202
2020-05-31,5,,1,,,1,3,3,3,8,13,17,14,14,32,13,15,11,1,1,,,,,155
2020-06-01,,,1,2,,,,6,4,18,9,12,18,24,26,18,11,9,3,3,,,,,164
2020-06-02,2,,,,1,1,6,2,7,6,12,18,12,17,18,13,17,6,2,1,,,,,141
2020-06-03,2,,1,1,1,3,4,2,6,6,11,13,19,16,21,10,14,12,,1,,,,,143
2020-06-04,2,1,,,1,3,2,7,9,7,12,13,19,15,24,19,13,17,4,2,,,,,170
2020-06-05,2,,,,2,1,3,7,5,10,13,20,18,27,14,22,13,6,5,,1,,,,169
2020-06-06,1,1,,,,1,,2,5,10,11,24,13,23,23,15,12,14,3,1,,,,,159
2020-06-07,1,,2,,3,4,4,1,2,9,10,9,15,22,23,12,20,11,3,1,1,,,,153
2020-06-08,5,1,,1,,2,4,7,6,11,17,17,22,14,29,21,13,10,5,1,,,,,186
2020-06-09,3,1,,,3,6,4,6,7,11,15,21,15,26,28,15,16,8,4,1,,,,,190
2020-06-10,2,,1,1,3,4,5,7,12,8,5,8,19,17,13,13,9,5,5,1,,,,,138
2020-06-11,2,,,,,3,1,5,11,9,11,15,17,23,12,11,6,6,,,,,,,132
2020-06-12,4,,,1,2,1,4,4,5,5,9,17,12,11,12,14,6,8,3,4,,,,,122
2020-06-13,4,,,1,,2,2,2,9,9,13,16,13,19,27,18,16,5,5,1,,,,,162
2020-06-14,3,,,2,2,2,5,5,8,16,18,19,19,16,26,19,11,8,2,1,,,,,182
2020-06-15,5,1,,,1,2,2,7,8,13,14,18,14,19,20,12,14,7,6,2,,,,,165
2020-06-16,1,,,1,4,1,4,6,7,12,11,13,14,26,25,13,18,7,12,3,,,,,178
2020-06-17,2,,1,,,1,1,3,7,7,13,16,6,15,23,19,14,16,5,,1,,,,150
2020-06-18,2,,,,,,2,3,6,5,8,7,15,31,23,18,17,7,4,1,,,,,149
2020-06-19,3,,,,1,1,4,2,6,3,14,17,15,26,29,18,19,12,5,2,,1,,,178
2020-06-20,2,,,1,,1,4,4,2,2,10,9,17,20,19,15,16,9,4,,,,,,135
2020-06-21,2,,,1,1,2,3,1,4,12,10,9,15,16,18,17,14,8,4,2,,,,,139
2020-06-22,2,,2,1,,1,1,2,5,4,4,18,11,15,18,11,18,8,2,,,,,,123
2020-06-23,3,,1,1,2,1,2,4,4,7,8,7,19,16,19,22,11,8,4,1,,,,,140
2020-06-24,4,,,,,,1,2,5,5,8,9,13,18,17,10,14,7,3,,,,,,116
2020-06-25,1,,,,1,1,1,4,5,8,17,16,15,10,13,19,17,6,5,1,,,,,140
2020-06-26,5,,,,,1,5,1,2,10,11,14,25,15,19,13,15,4,3,,,,,,143
2020-06-27,1,,,,,2,5,1,10,7,11,16,21,12,17,24,12,10,6,,,,,,155
2020-06-28,2,,,,,3,1,2,9,6,6,17,20,25,16,15,6,7,2,,,,,,137
2020-06-29,2,,,,2,2,2,2,4,9,10,15,16,24,15,12,18,9,3,1,1,,,,147
2020-06-30,2,,,,1,1,2,4,5,5,12,12,19,24,16,14,15,11,2,2,,,,,147
2020-07-01,2,,,1,1,2,5,5,4,7,10,5,15,15,12,9,12,8,7,3,,,,,123
2020-07-02,4,,,,,1,2,6,8,9,8,17,18,14,17,19,4,4,2,1,,,,,134
2020-07-03,3,,,,,1,3,5,9,8,7,16,15,13,9,16,9,4,1,3,,,,,122
2020-07-04,1,,,1,1,2,2,2,6,5,13,12,12,15,13,16,11,10,5,1,,,,,128
2020-07-05,,,1,,,1,,5,6,13,9,17,17,5,13,11,12,2,2,1,,,,,115
2020-07-06,,,,1,1,2,2,2,1,7,6,19,20,15,15,5,16,5,1,,,,,,118
2020-07-07,,,1,,1,1,2,7,4,9,14,15,13,19,17,18,7,7,5,,1,,,,141
2020-07-08,4,,,,2,2,4,7,5,7,9,16,13,17,16,16,12,7,6,,,,,,143
2020-07-09,3,,,,1,,2,2,3,4,14,12,12,11,22,18,10,10,1,1,,,,,126
2020-07-10,1,1,,1,1,,2,,3,6,9,10,14,20,19,18,8,11,4,5,,,,,133
2020-07-11,2,1,,1,1,1,1,3,4,5,7,12,11,18,15,13,8,9,4,,,,,,116
2020-07-12,2,,,1,1,1,2,2,5,6,14,9,11,12,13,6,4,8,5,,1,,,,103
2020-07-13,5,,,1,2,1,3,3,2,8,9,10,13,9,16,12,9,9,2,2,,,,,116
2020-07-14,5,,,2,2,2,2,5,4,7,9,13,11,10,10,9,13,6,2,2,2,,,,116
2020-07-15,1,,,1,1,3,3,2,9,7,11,7,16,16,15,8,11,3,6,1,,,,,121
2020-07-16,3,,1,1,,2,1,3,4,6,13,16,13,14,12,10,11,5,3,,,,,,118
2020-07-17,4,1,,1,1,1,4,5,8,7,10,11,9,12,12,10,10,8,4,1,,,,,119
2020-07-18,4,,,,1,2,5,3,3,9,12,10,19,9,19,8,11,6,2,,,,,,123
2020-07-19,2,,1,1,,,1,3,3,8,5,12,11,11,20,14,14,7,3,2,,,,,118
2020-07-20,1,1,,,1,5,2,4,2,9,8,14,18,17,7,8,9,3,4,1,,,,,114
