death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2015-04-14,6,,2,1,7,3,4,2,5,8,11,13,10,16,10,13,9,7,5,2,,,,
2015-04-15,4,1,1,1,2,8,4,7,6,12,14,13,14,8,20,19,2,10,6,,,,,
2015-04-16,6,1,2,1,3,10,3,7,7,8,14,18,15,8,7,9,15,8,2,,1,,,
2015-04-17,9,1,1,6,5,5,7,7,6,16,5,13,13,14,14,10,17,8,5,1,1,,,
2015-04-18,3,1,1,1,3,4,7,9,9,10,10,17,13,15,12,13,11,8,3,,,,,
2015-04-19,5,2,2,3,2,2,6,5,9,13,13,10,9,10,16,12,8,6,7,2,,,,
2015-04-20,5,2,1,3,1,5,7,7,9,15,12,12,9,16,17,14,20,12,6,,,,,
2015-04-21,4,4,,2,8,6,2,12,11,7,15,11,17,23,17,12,17,12,3,2,,,,
2015-04-22,7,,1,3,2,6,4,4,2,8,14,14,13,14,18,7,13,11,3,,,,,
2015-04-23,7,,1,5,2,7,2,5,5,7,9,17,9,8,12,14,22,8,4,2,,,,
2015-04-24,6,,3,1,2,8,5,9,6,11,12,10,14,15,9,10,16,11,5,1,,,,
2015-04-25,5,,,,4,4,3,6,3,13,5,15,10,10,15,18,15,9,6,2,,,,
2015-04-26,8,,,,4,6,2,3,7,6,11,14,16,15,20,15,14,9,2,1,,,,
2015-04-27,7,,3,2,4,3,5,3,10,18,10,14,19,10,17,13,9,8,5,3,,,,
2015-04-28,5,,1,,3,4,1,7,7,7,10,14,6,13,19,12,18,8,4,,1,,,
2015-04-29,5,,3,1,2,3,3,4,11,13,6,12,16,15,16,12,9,6,8,1,,,,
2015-04-30,4,,2,1,4,4,7,3,7,5,14,14,6,14,15,14,6,6,7,,1,,,
2015-05-01,3,2,3,1,5,7,7,9,7,8,5,10,11,10,20,11,15,13,9,1,,,,
2015-05-02,6,1,2,,7,5,4,5,8,8,6,17,17,16,10,8,14,15,3,3,,,,
2015-05-03,3,1,,2,3,2,4,6,12,6,11,6,14,14,20,19,13,12,4,,,,,
2015-05-04,6,,2,3,7,4,2,6,4,7,8,14,12,15,10,9,8,7,5,2,,,,
2015-05-05,2,,,3,2,3,7,8,6,16,11,10,15,17,16,17,14,10,10,1,,,,
2015-05-06,7,,1,1,6,3,4,6,4,8,15,10,12,18,10,8,15,10,5,1,2,1,,
2015-05-07,7,,1,2,1,5,5,5,13,10,12,13,14,18,19,14,8,12,6,1,,,,
2015-05-08,8,,1,1,5,4,5,6,4,11,12,14,15,14,16,13,17,7,5,2,,,,
2015-05-09,6,1,1,3,3,3,4,9,13,7,14,12,2,15,11,21,16,13,6,3,,,,
2015-05-10,5,,2,3,4,4,5,5,8,10,8,14,15,14,16,16,16,13,3,2,,,,
2015-05-11,10,,2,5,3,6,7,2,5,8,8,11,11,17,13,18,8,5,5,1,,,,
2015-05-12,3,1,1,2,8,2,3,7,3,12,8,13,15,10,16,15,16,12,5,2,,1,,
2015-05-13,3,4,,4,5,4,6,7,7,12,13,16,9,20,12,13,11,12,2,3,,,,
2015-05-14,5,,1,3,5,6,6,3,8,15,9,15,13,10,8,12,7,4,4,2,,,,
2015-05-15,7,1,,4,2,6,4,6,12,7,12,17,13,10,20,11,10,5,5,1,,,,
2015-05-16,1,,1,4,4,2,1,6,6,6,9,15,17,6,15,22,7,7,4,1,1,,,
2015-05-17,5,1,1,3,2,2,4,6,7,10,13,15,13,18,12,6,11,6,3,1,,,,
2015-05-18,3,1,,3,4,4,5,8,10,7,6,16,8,16,15,19,11,9,7,,,,,
2015-05-19,1,2,1,5,3,4,11,7,8,9,8,13,19,10,15,16,10,15,2,1,,,,
2015-05-20,2,,,,1,7,7,10,8,12,8,10,13,14,14,12,13,15,3,1,,,,
2015-05-21,2,,2,2,3,5,2,6,3,9,10,15,17,15,21,13,11,14,4,3,1,,,
2015-05-22,4,1,1,3,8,5,5,9,7,11,11,19,22,24,10,7,16,19,7,3,,,,
2015-05-23,4,3,,4,5,4,4,4,8,14,15,19,16,17,16,18,9,12,6,2,1,,,
