ZONE,DIV,YEAR,MONTH,DAY,DATE
1,006,2015,1,22,22-01-2015
1,006,2015,1,24,24-01-2015
1,006,2015,1,29,29-01-2015
1,006,2015,2,3,03-02-2015
1,006,2015,2,18,18-02-2015
1,006,2015,3,1,01-03-2015
1,006,2015,3,5,05-03-2015
1,006,2015,3,10,10-03-2015
1,006,2015,3,12,12-03-2015
1,006,2015,3,16,16-03-2015
1,006,2015,3,18,18-03-2015
1,006,2015,3,22,22-03-2015
1,006,2015,3,24,24-03-2015
1,006,2015,4,4,04-04-2015
1,006,2015,4,11,11-04-2015
1,006,2015,4,11,11-04-2015
1,006,2015,4,17,17-04-2015
1,006,2015,4,22,22-04-2015
1,006,2015,5,1,01-05-2015
1,006,2015,5,9,09-05-2015
1,006,2015,5,17,17-05-2015
1,006,2015,5,20,20-05-2015
1,006,2015,5,31,31-05-2015
1,006,2015,6,11,11-06-2015
1,006,2015,6,13,13-06-2015
1,006,2015,6,21,21-06-2015
1,006,2015,6,21,21-06-2015
1,006,2015,6,24,24-06-2015
1,006,2015,7,16,16-07-2015
1,006,2015,8,2,02-08-2015
1,006,2015,8,7,07-08-2015
1,006,2015,8,16,16-08-2015
1,006,2015,8,30,30-08-2015
1,006,2015,9,3,03-09-2015
1,006,2015,9,7,07-09-2015
1,006,2015,9,15,15-09-2015
1,006,2015,9,24,24-09-2015
1,006,2015,9,24,24-09-2015
1,006,2015,9,27,27-09-2015
1,006,2015,9,27,27-09-2015
1,006,2015,10,9,09-10-2015
1,006,2015,10,14,14-10-2015
1,006,2015,10,15,15-10-2015
1,006,2015,10,15,15-10-2015
1,006,2015,10,16,16-10-2015
1,006,2015,10,25,25-10-2015
1,006,2015,11,13,13-11-2015
1,006,2015,11,15,15-11-2015
1,006,2015,11,18,18-11-2015
1,006,2015,11,27,27-11-2015
1,006,2015,12,4,04-12-2015
1,006,2015,12,5,05-12-2015
1,006,2015,12,7,07-12-2015
1,006,2015,12,24,24-12-2015
1,006,2015,12,27,27-12-2015
1,007,2015,1,6,06-01-2015
1,007,2015,1,8,08-01-2015
1,007,2015,1,8,08-01-2015
1,007,2015,1,12,12-01-2015
1,007,2015,1,25,25-01-2015
1,007,2015,1,31,31-01-2015
1,007,2015,2,12,12-02-2015
1,007,2015,2,16,16-02-2015
1,007,2015,2,19,19-02-2015
1,007,2015,2,22,22-02-2015
1,007,2015,2,24,24-02-2015
1,007,2015,2,26,26-02-2015
1,007,2015,3,6,06-03-2015
1,007,2015,3,10,10-03-2015
1,007,2015,3,17,17-03-2015
1,007,2015,3,19,19-03-2015
1,007,2015,3,28,28-03-2015
1,007,2015,4,6,06-04-2015
1,007,2015,4,7,07-04-2015
1,007,2015,4,10,10-04-2015
1,007,2015,4,15,15-04-2015
1,007,2015,4,19,19-04-2015
1,007,2015,5,20,20-05-2015
1,007,2015,5,21,21-05-2015
1,007,2015,5,31,31-05-2015
1,007,2015,6,3,03-06-2015
1,007,2015,6,6,06-06-2015
1,007,2015,6,11,11-06-2015
1,007,2015,6,22,22-06-2015
1,007,2015,7,6,06-07-2015
1,007,2015,7,27,27-07-2015
1,007,2015,8,12,12-08-2015
1,007,2015,8,16,16-08-2015
1,007,2015,8,27,27-08-2015
1,007,2015,9,1,01-09-2015
1,007,2015,9,11,11-09-2015
1,007,2015,9,13,13-09-2015
1,007,2015,9,16,16-09-2015
1,007,2015,9,30,30-09-2015
1,007,2015,10,11,11-10-2015
1,007,2015,10,19,19-10-2015
1,007,2015,11,15,15-11-2015
1,007,2015,12,1,01-12-2015
1,007,2015,12,3,03-12-2015
1,007,2015,12,6,06-12-2015
1,007,2015,12,23,23-12-2015
1,008,2015,1,1,01-01-2015
1,008,2015,1,1,01-01-2015
1,008,2015,1,3,03-01-2015
1,008,2015,1,4,04-01-2015
1,008,2015,1,4,04-01-2015
1,008,2015,1,7,07-01-2015
1,008,2015,1,11,11-01-2015
1,008,2015,1,11,11-01-2015
1,008,2015,1,18,18-01-2015
1,008,2015,1,18,18-01-2015
1,008,2015,1,21,21-01-2015
1,008,2015,1,21,21-01-2015
1,008,2015,1,23,23-01-2015
1,008,2015,1,23,23-01-2015
1,008,2015,1,25,25-01-2015
1,008,2015,1,25,25-01-2015
1,008,2015,1,26,26-01-2015
1,008,2015,1,29,29-01-2015
1,008,2015,1,29,29-01-2015
1,008,2015,2,3,03-02-2015
1,008,2015,2,3,03-02-2015
1,008,2015,2,4,04-02-2015
1,008,2015,2,5,05-02-2015
1,008,2015,2,8,08-02-2015
1,008,2015,2,11,11-02-2015
1,008,2015,2,14,14-02-2015
1,008,2015,2,16,16-02-2015
1,008,2015,2,18,18-02-2015
1,008,2015,2,18,18-02-2015
1,008,2015,2,25,25-02-2015
1,008,2015,3,1,01-03-2015
1,008,2015,3,6,06-03-2015
1,008,2015,3,9,09-03-2015
1,008,2015,3,10,10-03-2015
1,008,2015,3,11,11-03-2015
1,008,2015,3,15,15-03-2015
1,008,2015,3,16,16-03-2015
1,008,2015,3,17,17-03-2015
1,008,2015,3,22,22-03-2015
1,008,2015,3,22,22-03-2015
1,008,2015,3,26,26-03-2015
1,008,2015,3,28,28-03-2015
1,008,2015,4,2,02-04-2015
1,008,2015,4,5,05-04-2015
1,008,2015,4,6,06-04-2015
1,008,2015,4,8,08-04-2015
1,008,2015,4,10,10-04-2015
1,008,2015,4,13,13-04-2015
1,008,2015,4,13,13-04-2015
1,008,2015,4,14,14-04-2015
1,008,2015,4,17,17-04-2015
1,008,2015,4,18,18-04-2015
1,008,2015,4,21,21-04-2015
1,008,2015,4,24,24-04-2015
1,008,2015,4,25,25-04-2015
1,008,2015,4,29,29-04-2015
1,008,2015,5,1,01-05-2015
1,008,2015,5,1,01-05-2015
1,008,2015,5,6,06-05-2015
1,008,2015,5,12,12-05-2015
1,008,2015,5,14,14-05-2015
1,008,2015,5,14,14-05-2015
1,008,2015,5,14,14-05-2015
1,008,2015,5,15,15-05-2015
1,008,2015,5,15,15-05-2015
1,008,2015,5,19,19-05-2015
1,008,2015,5,23,23-05-2015
1,008,2015,6,1,01-06-2015
1,008,2015,6,1,01-06-2015
1,008,2015,6,2,02-06-2015
1,008,2015,6,8,08-06-2015
1,008,2015,6,11,11-06-2015
1,008,2015,6,15,15-06-2015
1,008,2015,6,15,15-06-2015
1,008,2015,6,15,15-06-2015
