Date,Male,Female,Total
08-04-2011,23,20,43
09-04-2011,25,17,42
10-04-2011,31,11,42
11-04-2011,25,24,49
12-04-2011,29,13,42
13-04-2011,23,15,38
14-04-2011,41,22,63
15-04-2011,33,12,45
16-04-2011,27,24,51
17-04-2011,27,10,37
18-04-2011,20,16,36
19-04-2011,26,15,41
20-04-2011,32,22,54
21-04-2011,25,16,41
22-04-2011,37,14,51
23-04-2011,27,22,49
24-04-2011,27,27,54
25-04-2011,40,21,61
26-04-2011,38,22,60
27-04-2011,23,20,43
28-04-2011,31,16,47
29-04-2011,29,13,42
30-04-2011,37,30,67
01-05-2011,39,14,53
02-05-2011,25,19,44
03-05-2011,24,22,46
04-05-2011,31,17,48
05-05-2011,30,21,51
06-05-2011,43,22,65
07-05-2011,39,14,53
08-05-2011,36,17,53
09-05-2011,22,23,45
10-05-2011,33,22,55
11-05-2011,37,15,52
12-05-2011,36,19,55
13-05-2011,34,17,51
14-05-2011,29,24,53
15-05-2011,35,13,48
16-05-2011,34,25,59
17-05-2011,30,31,61
18-05-2011,26,19,45
19-05-2011,33,16,49
20-05-2011,40,25,65
21-05-2011,13,20,33
22-05-2011,23,11,34
23-05-2011,34,19,53
24-05-2011,25,14,39
25-05-2011,34,18,52
26-05-2011,27,21,48
27-05-2011,31,17,48
28-05-2011,30,18,48
29-05-2011,27,23,50
30-05-2011,25,16,41
31-05-2011,30,18,48
01-06-2011,20,14,34
02-06-2011,21,16,37
03-06-2011,26,23,49
04-06-2011,22,20,42
05-06-2011,31,18,49
06-06-2011,37,19,56
07-06-2011,38,13,51
08-06-2011,20,17,37
09-06-2011,30,21,51
10-06-2011,34,18,52
11-06-2011,17,13,30
12-06-2011,18,17,35
13-06-2011,32,16,48
14-06-2011,27,15,42
15-06-2011,29,11,40
16-06-2011,25,23,48
17-06-2011,25,13,38
18-06-2011,19,12,31
19-06-2011,20,13,33
20-06-2011,31,17,48
21-06-2011,30,17,47
22-06-2011,25,20,45
23-06-2011,43,20,63
24-06-2011,34,20,54
25-06-2011,32,13,45
26-06-2011,25,23,48
27-06-2011,33,20,53
28-06-2011,21,18,39
29-06-2011,35,13,48
30-06-2011,18,13,31
01-07-2011,32,10,42
02-07-2011,28,25,53
03-07-2011,36,25,61
04-07-2011,29,17,46
05-07-2011,29,21,50
06-07-2011,30,18,48
07-07-2011,34,9,43
08-07-2011,22,13,35
09-07-2011,34,18,52
10-07-2011,39,10,49
11-07-2011,29,20,49
12-07-2011,33,17,50
13-07-2011,20,17,37
